"","fips","n10"
"1124",31091,0
"1125",31093,3
"1126",31095,33
"1127",31097,1
"1128",31099,15
"1129",31101,0
"1130",31103,7
"1131",31105,2
"1132",31107,8
"1133",31109,870
"1134",31111,25
"1135",31113,0
"1136",31115,4
"1137",31117,3
"1138",31119,61
"1139",31121,28
"1140",31123,6
"1141",31125,12
"1142",31127,19
"1143",31129,4
"1144",31131,81
"1145",31133,0
"1146",31135,0
"1147",31137,8
"1148",31139,0
"1149",31141,15
"1150",31143,6
"1151",31145,4
"1152",31147,83
"1153",31149,1
"1154",31151,23
"1155",31153,36
"1156",31155,21
"1157",31157,16
"1158",31159,8
"1159",31161,1
"1160",31163,5
"1161",31165,14
"1162",31167,1
"1163",31169,2
"1164",31171,11
"1165",31173,13
"1166",31175,2
"1167",31177,2
"1168",31179,1
"1169",31181,6
"1170",31183,33
"1171",31185,28
"1172",31000,7689
"1173",38001,0
"1174",38003,2
"1175",38005,9
"1176",38007,6
"1177",38009,10
"1178",38011,1
"1179",38013,4
"1180",38015,54
"1181",38017,120
"1182",38019,14
"1183",38021,6
"1184",38023,3
"1185",38025,0
"1186",38027,2
"1187",38029,9
"1188",38031,3
"1189",38035,60
"1190",38039,15
"1191",38041,8
"1192",38043,11
"1193",38045,5
"1194",38047,1
"1195",38049,14
"1196",38051,3
"1197",38053,2
"1198",38055,4
"1199",38057,0
"1200",38059,12
"1201",38061,1
"1202",38063,1
"1203",38065,0
"1204",38067,5
"1205",38069,25
"1206",38071,44
"1207",38073,8
"1208",38075,0
"1209",38077,11
"1210",38079,6
"1211",38081,1
"1212",38083,0
"1213",38089,6
"1214",38091,3
"1215",38093,8
"1216",38095,19
"1217",38097,2
"1218",38099,5
"1219",38101,67
"1220",38103,3
"1221",38105,24
"1222",38000,617
"1223",46001,1
"1224",46003,1
"1225",46005,39
"1226",46007,0
"1227",46009,1
"1228",46011,21
"1229",46013,74
"1230",46015,2
"1231",46017,1
"1232",46019,0
"1233",46021,0
"1234",46023,0
"1235",46025,4
"1236",46027,0
"1237",46029,25
"1238",46031,3
"1239",46033,4
"1240",46035,18
"1241",46037,1
"1242",46039,5
"1243",46041,0
"1244",46043,2
"1245",46045,5
"1246",46047,20
"1247",46049,3
"1248",46051,0
"1249",46053,20
"1250",46057,0
"1251",46059,2
"1252",46061,1
"1253",46063,0
"1254",46065,13
"1255",46067,3
"1256",46069,1
"1257",46073,0
"1258",46077,13
"1259",46079,1
"1260",46081,177
"1261",46083,2
"1262",46085,27
"1263",46087,5
"1264",46089,0
"1265",46091,6
"1266",46093,30
"1267",46095,0
"1268",46097,0
"1269",46099,72
"1270",46101,2
"1271",46103,33
"1272",46105,2
"1273",0,10
"1274",46107,0
"1275",46109,3
"1276",46111,3
"1277",46111.1015625,0
"1278",46113,0
"1279",46115,0
"1280",46117,38
"1281",46117.1015625,1
"1282",46119,49
"1283",46121,5
"1284",46123,5
"1285",46125,0
"1286",46127,2
"1287",46129,0
"1288",46131,0
"1289",46133,0
"1290",46135,61
"1291",46000,817
"1292",51001,13273
"1293",51003,9673
"1294",51005,2945
"1295",51007,5490
"1296",51009,7465
"1297",51011,3089
"1298",51013,2645
"1299",51015,4541
"1300",51017,1176
"1301",51019,8455
"1302",51021,133
"1303",51023,3495
"1304",51025,11366
"1305",51027,4
"1306",51029,7570
"1307",51031,9002
"1308",51033,8750
"1309",51035,268
"1310",51036,3765
"1311",51037,8335
"1312",51041,7527
"1313",51043,1900
"1314",51045,207
"1315",51047,5262
"1316",51049,6053
"1317",51051,7
"1318",51053,9368
"1319",51055,7992
"1320",51057,5315
"1321",51059,4864
"1322",51061,7486
"1323",51063,837
"1324",51065,3374
"1325",51067,5435
"1326",51069,694
"1327",51071,755
"1328",51073,5907
"1329",51075,5230
"1330",51077,939
"1331",51079,1339
"1332",51081,7393
"1333",51083,20013
"1334",51085,7040
"1335",51087,6837
"1336",51089,7462
"1337",51091,260
"1338",51093,7512
"1339",51095,3034
"1340",51097,5373
"1341",51099,2913
"1342",51101,4855
"1343",51103,5139
"1344",51105,952
"1345",51107,5221
"1346",51109,7883
"1347",51111,6811
"1348",51113,3264
"1349",51115,2513
"1350",51117,16394
"1351",51119,4636
"1352",51121,2323
"1353",51123,15536
"1354",51125,5263
"1355",51127,2791
"1356",51129,31791
"1357",51131,9314
"1358",51133,4267
"1359",51135,7347
"1360",51137,5526
"1361",51139,1166
"1362",51141,1618
"1363",51143,20163
"1364",51145,3633
"1365",51147,8458
"1366",51149,4551
"1367",51151,5818
"1368",51153,2825
"1369",51155,2930
"1370",51157,2148
"1371",51159,3071
"1372",51161,3525
"1373",51163,3528
"1374",51165,2335
"1375",51167,1025
"1376",51169,503
"1377",51171,493
"1378",51173,981
"1379",51175,16091
"1380",51177,3593
"1381",51179,1720
"1382",51181,6005
"1383",51183,8962
"1384",51185,2820
"1385",51187,1131
"1386",51189,4334
"1387",51191,2312
"1388",51193,4668
"1389",51195,2861
"1390",51197,2188
"1391",51199,3764
"1392",51510,4188
"1393",51520,1144
"1394",51530,416
"1395",51540,2524
"1396",51560,1092
"1397",51590,6207
"1398",51630,1480
"1399",51680,9466
"1400",51700,7259
"1401",51710,25039
"1402",51730,11014
"1403",51740,11617
"1404",51750,665
"1405",51760,46733
"1406",51770,7924
"1407",51790,2476
"1408",51830,NA
"1409",51840,1038
"1410",51000,671096
"1411",1001,11717
"1412",1003,5110
"1413",1005,20456
"1414",1007,7710
"1415",1009,1181
"1416",1011,25362
"1417",1013,15373
"1418",1015,10757
"1419",1017,18660
"1420",1019,2606
"1421",1021,4759
"1422",1023,11503
"1423",1025,17311
"1424",1027,2648
"1425",1029,711
"1426",1031,5782
"1427",1033,9449
"1428",1035,10079
"1429",1037,6256
"1430",1039,8001
"1431",1041,7514
"1432",1043,533
"1433",1045,5810
"1434",1047,43511
"1435",1049,854
"1436",1051,13246
"1437",1053,5569
"1438",1055,6804
"1439",1057,1866
"1440",1059,1842
"1441",1061,4305
"1442",1063,19705
"1443",1065,21987
"1444",1067,10150
"1445",1069,9597
"1446",1071,3136
"1447",1073,90617
"1448",1075,3180
"1449",1077,7096
"1450",1079,6933
"1451",1081,19643
"1452",1083,10255
"1453",1085,28125
"1454",1087,22039
"1455",1089,18894
"1456",1091,30846
"1457",1093,520
"1458",1095,1365
"1459",1097,34719
"1460",1099,15727
"1461",1101,56867
"1462",1103,8198
"1463",1105,24494
"1464",1107,12951
"1465",1109,14437
"1466",1111,5717
"1467",1113,20198
"1468",1115,3632
"1469",1117,7641
"1470",1119,23322
"1471",1121,18265
"1472",1123,11457
"1473",1125,19026
"1474",1127,6538
"1475",1129,6064
"1476",1131,27602
"1477",1133,54
"1478",1000,908282
"1479",5001,4269
"1480",5003,13276
"1481",5005,7
"1482",5007,110
"1483",5009,7
"1484",5011,4641
"1485",5013,3413
"1486",5015,66
"1487",5017,17682
"1488",5019,7367
"1489",5021,10
"1490",5023,7
"1491",5025,4334
"1492",5027,10869
"1493",5029,8298
"1494",5031,1328
"1495",5033,2063
"1496",5035,19000
"1497",5037,6127
"1498",5039,4657
"1499",5041,12129
"1500",5043,11789
"1501",5045,4460
"1502",5047,382
"1503",5049,44
"1504",5051,4665
"1505",5053,994
"1506",5055,40
"1507",5057,14100
"1508",5059,1960
